X,Y,SPECIES NAME
4209500,2842500,Abies alba
4227500,2840500,Abies alba
4221500,2848500,Abies alba
4305500,2867500,Abies alba
4399500,2737500,Abies alba
4361500,2714500,Abies alba
4142500,2993500,Abies alba
4241500,2808500,Abies alba
4211500,2824500,Abies alba
4415500,2714500,Abies alba
4202500,2812500,Abies alba
4182500,2758500,Abies alba
4324500,2880500,Abies alba
4288500,2725500,Abies alba
4203500,2824500,Abies alba
4211500,2846500,Abies alba
4299500,2869500,Abies alba
4262500,3517500,Abies alba
4373500,2714500,Abies alba
4166500,2731500,Abies alba
4531500,2737500,Abies alba
4326500,2878500,Abies alba
4154500,2741500,Abies alba
4573000,2826500,Abies alba
4218500,2768500,Abies alba
4332500,2900500,Abies alba
4172500,2778500,Abies alba
4350000,2740500,Abies alba
4147500,2953500,Abies alba
4200500,2778500,Abies alba
4219500,2830500,Abies alba
4209500,2856500,Abies alba
4504500,2824500,Abies alba
4205500,2804500,Abies alba
4443500,3042500,Abies alba
4150500,2887500,Abies alba
4203500,2830500,Abies alba
4260500,2753500,Abies alba
4481500,2791500,Abies alba
4260500,2747500,Abies alba
4217500,2812500,Abies alba
4293500,2851500,Abies alba
4328500,2876500,Abies alba
4419500,2718500,Abies alba
4535500,2889500,Abies alba
4175500,2722500,Abies alba
4459500,2723500,Abies alba
4427500,2726500,Abies alba
4322500,2884500,Abies alba
4213500,2846500,Abies alba
4340500,2722500,Abies alba
4539500,2725500,Abies alba
4207500,2834500,Abies alba
4197500,2814500,Abies alba
4531500,2733500,Abies alba
4168500,2741500,Abies alba
4177500,2808500,Abies alba
4188500,2770500,Abies alba
4492500,2852500,Abies alba
4201500,2826500,Abies alba
4272500,2743500,Abies alba
4186500,2742500,Abies alba
4531500,2745500,Abies alba
4228500,2762500,Abies alba
4266500,2933500,Abies alba
4152500,2887500,Abies alba
4219000,2811500,Abies alba
4230500,2766500,Abies alba
4188500,2764500,Abies alba
4309500,2873500,Abies alba
4443500,2738500,Abies alba
4112500,2986500,Abies alba
4185500,2808500,Abies alba
4199500,2828500,Abies alba
4219500,2843500,Abies alba
4181500,2826500,Abies alba
4254500,2737500,Abies alba
4165500,3283500,Abies alba
4205500,2812500,Abies alba
4153500,3007500,Abies alba
4207500,2806500,Abies alba
4209500,2816500,Abies alba
4166500,2779500,Abies alba
4205500,2852500,Abies alba
4538500,2905500,Abies alba
4191500,2816500,Abies alba
4168500,2735500,Abies alba
4325500,2872500,Abies alba
4188500,2788500,Abies alba
4328500,2762500,Abies alba
4239500,2806500,Abies alba
4423500,3030000,Abies alba
4246500,2919500,Abies alba
4187500,2826500,Abies alba
4452500,2834500,Abies alba
4229500,2848500,Abies alba
4219000,2812000,Abies alba
4204500,2778500,Abies alba
4205500,2842500,Abies alba
4221500,2852500,Abies alba
4164500,2793500,Abies alba
4214500,2794500,Abies alba
4326500,2724500,Abies alba
4227500,2838500,Abies alba
4169500,2719500,Abies alba
4309500,2863500,Abies alba
4452500,2850500,Abies alba
4476500,2835500,Abies alba
4551500,2897500,Abies alba
4170500,2741500,Abies alba
4216500,2794500,Abies alba
4222500,2796500,Abies alba
4527500,2877500,Abies alba
4179500,2812500,Abies alba
4207500,2814500,Abies alba
4206500,2784500,Abies alba
4435500,2734500,Abies alba
4189500,2818500,Abies alba
4446500,2746500,Abies alba
4347500,2714500,Abies alba
4059500,2981500,Abies alba
4243500,2833500,Abies alba
4234000,2765000,Abies alba
4435500,2738500,Abies alba
4164500,2801500,Abies alba
4189500,2838500,Abies alba
4535500,2733500,Abies alba
4228500,2928500,Abies alba
4180500,2782500,Abies alba
4158500,2753500,Abies alba
4172500,2734500,Abies alba
4290500,2875500,Abies alba
4307500,2871500,Abies alba
4191500,2820500,Abies alba
4148500,2741500,Abies alba
4197500,2838500,Abies alba
4278500,2737500,Abies alba
4174500,2762500,Abies alba
4318500,2882500,Abies alba
4209500,2824500,Abies alba
4180500,2746500,Abies alba
4294500,2727500,Abies alba
4215500,2842500,Abies alba
4162500,2733500,Abies alba
4233500,2840500,Abies alba
4213500,2856500,Abies alba
4294500,2723500,Abies alba
4070500,3029500,Abies alba
4511500,2736500,Abies alba
4166500,2797500,Abies alba
4292500,2879500,Abies alba
4212500,2728500,Abies alba
4217500,2818500,Abies alba
4167500,2807500,Abies alba
4191500,2846500,Abies alba
4219500,2838500,Abies alba
4172500,2920500,Abies alba
4205500,2830500,Abies alba
4321500,2868500,Abies alba
4207500,2804500,Abies alba
4213500,2842500,Abies alba
4307500,2869500,Abies alba
4152500,2743500,Abies alba
4216500,2774500,Abies alba
4189500,2844500,Abies alba
4190500,2770500,Abies alba
4395500,2713500,Abies alba
4160500,2789500,Abies alba
4395000,2901500,Abies alba
4150500,2751500,Abies alba
4217500,2820500,Abies alba
4331500,2714500,Abies alba
4233500,2832500,Abies alba
4320500,2730500,Abies alba
4545500,2801500,Abies alba
4169500,2721500,Abies alba
4188500,2738500,Abies alba
4195500,2824500,Abies alba
4545500,2809500,Abies alba
4215500,2852500,Abies alba
4543500,2897500,Abies alba
4193500,2836500,Abies alba
4176500,2788500,Abies alba
4232500,2800500,Abies alba
4252500,2787500,Abies alba
4526500,2909500,Abies alba
4222500,2780500,Abies alba
4193500,2844500,Abies alba
4294500,2881500,Abies alba
4232500,2878500,Abies alba
4491500,2896500,Abies alba
4479500,2728000,Abies alba
4175500,2818500,Abies alba
4217500,2840500,Abies alba
4524500,2824500,Abies alba
4523500,2736500,Abies alba
4174500,2898500,Abies alba
4369500,2812500,Abies alba
4152500,2731500,Abies alba
4261500,2847500,Abies alba
4217500,2804500,Abies alba
4472500,2851500,Abies alba
4152500,2741500,Abies alba
4262500,3499500,Abies alba
4535500,2745500,Abies alba
4316500,2789500,Abies alba
4312500,2891500,Abies alba
4319500,2858500,Abies alba
4207500,2842500,Abies alba
4219500,2858500,Abies alba
4176500,2756500,Abies alba
4216500,2776500,Abies alba
4580500,2866500,Abies alba
4201500,2720500,Abies alba
4221500,2860500,Abies alba
4306500,2727500,Abies alba
4411500,2713500,Abies alba
4184500,2784500,Abies alba
4585500,2850500,Abies alba
4459500,2731500,Abies alba
4260500,2741500,Abies alba
4204500,2780500,Abies alba
4560500,2853500,Abies alba
4305500,2863500,Abies alba
4200500,2748500,Abies alba
4164500,2785500,Abies alba
4204500,2800500,Abies alba
4180500,2750500,Abies alba
4555500,2865500,Abies alba
4298500,2881500,Abies alba
